antibody,reweight
CP0590,1.247
GC0108,1.247
GC0112,1.247
GC0144,1.247
GC0147,1.247
GC0149,1.247
GC0152,1.247
GC0165,1.247
GC0182,1.247
GC0197,1.247
GC0204,0.3846
GC0208,1.247
GC0213,1.247
GC0216,1.247
GC0250,1.247
GC0258,1.247
GC0271,1.247
GC0297,1.247
GC0338,1.247
GC0342,1.247
GC0346,1.247
GC0350,1.247
GC0352,1.247
GC0353,1.247
GC0371,1.247
GC0372,1.247
GC0379,1.247
GC0380,1.247
GC0396,1.247
GC0407,1.247
GC0409,1.247
GC0413,0.3846
GC0414,0.3846
GC0415,0.3846
GC0416,0.3846
GC0417,0.3846
GC0418,0.3846
GC0419,0.3846
GC0420,1.247
GC0421,1.247
GC0422,0.3846
GC0423,0.3846
GC0424,0.3846
GC0425,0.3846
GC0426,0.3846
GC0427,0.3846
GC0428,0.3846
GC0429,0.3846
GC0430,0.3846
GC0431,0.3846
GC0432,0.3846
GC0434,0.3846
GC0435,0.3846
GC0437,0.3846
GC0438,0.3846
GC0439,0.3846
GC0440,0.3846
GC0441,0.3846
GC0442,0.3846
GC0443,0.3846
GC0444,0.3846
GC0445,0.3846
GC0447,0.3846
GC0448,0.3846
GC0449,0.3846
GC0450,0.3846
GC0451,0.3846
GC0452,0.3846
GC0453,0.3846
GC0454,0.3846
GC0455,0.3846
GC0456,0.3846
GC0457,0.3846
GC0458,0.3846
GC0459,0.3846
GC0460,0.3846
GC0461,0.3846
GC0463,0.3846
GC0464,0.3846
GC0465,0.3846
GC0466,0.3846
GC0467,0.3846
GC0468,1.247
GC0532,0.3846
GC0533,1.247
GC0538,1.247
GC0539,1.247
GC0540,1.247
GC0541,1.247
GC0542,1.247
GC0543,1.247
GC0547,1.247
GC0548,1.247
GC0551,0.3846
GC0552,1.247
GC0553,1.247
GC0554,1.247
GC0555,1.247
GC0556,1.247
GC0557,1.247
GC0558,1.247
GC0562,1.247
GC0563,1.247
GC0564,0.3846
GC0565,0.3846
GC0567,0.3846
GC0572,1.247
GC0573,1.247
GC0575,0.3846
GC0576,1.247
GC0577,1.247
GC0578,1.247
GC0580,1.247
GC0581,1.247
GC0583,0.3846
GC0585,1.247
GC0586,0.3846
GC0587,1.247
GC0590,0.3846
GC0591,1.247
GC0593,1.247
GC0594,1.247
GC0597,1.247
GC0606,1.247
GC0608,0.3846
GC0609,1.247
GC0610,1.247
GC0611,1.247
GC0613,0.3846
GC0618,1.247
GC0623,1.247
GC0624,0.3846
GC0628,1.247
GC0629,0.3846
GC0640,1.247
GC0645,0.3846
GC0646,0.3846
GC0647,0.3846
GC0658,0.3846
GC0660,0.3846
GC0664,0.3846
GC0669,1.247
GC0679,0.3846
GC0684,1.247
GC0685,1.247
GC0687,1.247
GC0689,0.3846
GC0690,0.3846
GC0691,0.3846
GC0693,0.3846
GC0695,1.247
GC0700,1.247
GC0702,1.247
GC0704,1.247
GC0706,1.247
GC0721,0.3846
GC0723,0.3846
GC0724,0.3846
GC0728,0.3846
GC0741,1.247
GC0742,0.3846
GC0743,0.3846
GC0744,0.3846
GC0745,0.3846
GC0746,0.3846
GC0747,0.3846
GC0748,0.3846
GC0749,1.247
GC0750,0.3846
GC0751,0.3846
GC0754,0.3846
GC0758,1.247
GC0762,1.247
GC0763,0.3846
GC0766,1.247
GC0772,1.247
GC0777,1.247
GC0784,1.247
GC0785,1.247
GC0787,0.3846
GC0791,1.247
GC0792,1.247
GC0793,1.247
GC0796,0.3846
GC0799,1.247
GC0800,1.247
GC0801,1.247
GC0802,1.247
GC0803,1.247
GC0805,0.3846
GC0808,1.247
GC0812,0.3846
GC0815,0.3846
GC0820,1.247
GC0822,0.3846
GC0829,0.3846
GC0830,0.3846
GC0832,1.247
GC0839,1.247
GC0841,1.247
GC0842,0.3846
GC0850,1.247
GC0852,0.3846
GC0858,1.247
GC0860,1.247
GC0861,1.247
GC0874,1.247
GC0875,1.247
GC0876,1.247
GC0877,1.247
GC0878,1.247
GC0881,1.247
GC1131,0.405
GC1132,0.405
GC1134,0.405
GC1135,0.405
GC1136,0.405
GC1137,0.405
GC1138,0.405
GC1139,0.405
GC1140,0.405
GC1141,0.405
GC1142,1.222
GC1143,0.405
GC1145,0.405
GC1146,0.405
GC1149,0.405
GC1150,0.405
GC1151,1.222
GC1152,0.405
GC1153,0.405
GC1154,1.222
GC1155,1.222
GC1156,1.222
GC1157,1.222
GC1158,1.222
GC1159,1.222
GC1161,1.222
GC1162,1.222
GC1163,1.222
GC1165,1.222
GC1166,1.222
GC1167,1.222
GC1169,1.222
GC1171,1.222
GC1172,1.222
GC1173,1.222
GC1174,1.222
GC1175,1.222
GC1176,1.222
GC1177,1.222
GC1178,1.222
GC1179,1.222
GC1180,1.222
GC1181,1.222
GC1182,1.222
GC1183,1.222
GC1184,1.222
GC1186,1.222
GC1187,1.222
GC1188,1.222
GC1189,1.222
GC1190,1.222
GC1191,1.222
GC1192,1.222
GC1193,1.222
GC1194,1.222
GC1196,1.222
GC1197,1.222
GC1198,1.222
GC1199,1.222
GC1200,1.222
GC1201,1.222
GC1202,1.222
GC1203,1.222
GC1205,1.222
GC1206,1.222
GC1207,1.222
GC1208,0.405
GC1209,1.222
GC1210,1.222
GC1211,1.222
GC1212,1.222
GC1213,1.222
GC1214,1.222
GC1215,1.222
GC1216,1.222
GC1217,1.222
GC1219,1.222
GC1220,1.222
GC1222,1.222
GC1223,1.222
GC1224,1.222
GC1226,1.222
GC1227,1.222
GC1228,1.222
GC1229,1.222
GC1230,1.222
GC1231,1.222
GC1233,1.222
GC1234,1.222
GC1236,1.222
GC1237,1.222
GC1238,1.222
GC1240,1.222
GC1241,1.222
GC1242,1.222
GC1244,1.222
GC1245,1.222
GC1246,1.222
GC1247,1.222
GC1248,1.222
GC1249,1.222
GC1250,1.222
GC1251,1.222
GC1252,1.222
GC1253,1.222
GC1254,1.222
GC1255,1.222
GC1256,1.222
GC1257,1.222
GC1258,1.222
GC1259,1.222
GC1260,1.222
GC1262,1.222
GC1264,1.222
GC1266,1.222
GC1267,1.222
GC1269,1.222
GC1270,1.222
GC1271,1.222
GC1275,1.222
GC1276,1.222
GC1277,1.222
GC1278,1.222
GC1279,1.222
GC1280,1.222
GC1281,1.222
GC1282,1.222
GC1284,1.222
GC1285,1.222
GC1286,1.222
